Product Name,SKU,Color,Size,Stock Quantity,Reserved,Status
Burberry Signatures Tudor Rose Eau de Parfum 100ml,BUR-FREE-SIZE-GREEN,Green,Free Size,100,0,published
Burberry Hero Parfum Intense 100ml,BUR-FREE-SIZE-TRUFFLE-BROWN,Truffle brown,Free Size,22,0,published
Burberry Goddess Eau de Parfum Intense 100ml,BUR-FREE-SIZE-ARCHIVE-BEIGE,Archive beige,Free Size,11,0,published
Burberry Goddess Eau de Parfum Gift Set,BUR-FREE-SIZE-RED,Red,Free Size,15,0,published
Cashmere Bomber Jacket,CAS-2XL-NAVY,Navy,2XL,20,0,published
Cashmere Blend Half-zip Sweater,CAS-XS-NAVY,Navy,XS,100,0,published
Corduroy Snowdon Puffer Jacket,COR-FREE-SIZE-TRUFFLE-BROWN,Truffle brown,Free Size,5,0,published
Check Wool Cashmere Bomber Jacket,CHE-FREE-SIZE-TRUFFLE-BROWN,Truffle brown,Free Size,22,0,published
Cashmere Snowdon Puffer Jacket,CAS-FREE-SIZE-CAMEL,Camel,Free Size,3,0,published
Detachable Scarf Wool Blend Jacket,DET-FREE-SIZE-TRUFFLE-BROWN,Truffle brown,Free Size,3,0,published
Reversible Check Snowdon Puffer Jacket,REV-FREE-SIZE-TRUFFLE-BROWN,Truffle brown,Free Size,11,0,published
Wool Blend Bomber Jacket,WOO-FREE-SIZE-NAVY,Navy,Free Size,14,0,published
Check Corduroy Overshirt,CHE-3XL-ARCHIVE-BEIGE,Archive beige,3XL,100,0,published
Check Corduroy Overshirt,CHE-2XL-ARCHIVE-BEIGE,Archive beige,2XL,100,0,published
Check Corduroy Overshirt,CHE-XL-ARCHIVE-BEIGE,Archive beige,XL,100,0,published
Devenir Her Eau de Parfum Gift Set,DEV-FREE-SIZE-RED,Red,Free Size,22,0,published
Highlands Backpack​,HIG-FREE-SIZE-TENT-GREEN,Tent green,Free Size,11,0,published
Highlands Backpack​,HIG-FREE-SIZE-CAMEL,Camel,Free Size,123,0,published
Embossed Check Backpack,EMB-FREE-SIZE-BLACK,Black,Free Size,11,0,published
Small Check Crossbody Bag​,SMA-FREE-SIZE-SAND-BEIGE,Sand beige,Free Size,11,0,published
Check Crossbody Bag​,CHE-FREE-SIZE-CAMEL,Camel,Free Size,34,0,published
Check Backpack,CHE-FREE-SIZE-GINGER-ORANGE,Ginger orange,Free Size,11,0,published
Small Check Backpack,SMA-FREE-SIZE-CAMEL,Camel,Free Size,7,0,published
Large Reversible Bloomsbury Tote​,LAR-FREE-SIZE-SAND-BEIGE,Sand beige,Free Size,26,0,published
Boston Holdall,BOS-FREE-SIZE-CHARCOAL,Charcoal,Free Size,3,0,published
